Item,Sub Item,"Unit Name e.g. litre, gram","Unit qty i.e. 1.5, 1, etc",Grams,Cal.,Protein,Fat,Carbs,Fiber,"eat type , in = 1, out = 0",extra units qty,Meal applied to,Exclusive to
,"CHEESE,SWISS",cu. in. ,1,24,91,6.5,6.7,1.3,0,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"CHEESE,COTTAGE,LOWFAT,1% ",cup,1,226,163,28,2.3,6.1,0,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4","3,6",
,"YOGURT,PLAIN,SKIM MILK,",cup,0.25,61.3,34,3.5,0.1,4.7,0,GROCERY,"0.125,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"MILK,CHOCOLATE",cup,1,250,208,7.9,8.5,25.9,2,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"CREAM,HALF AND HALF",tbsp,1,15,20,0.4,1.7,0.6,0,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"EGG,WHITE,RAW",cup,1,244,117,26.6,0.4,1.8,0,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",1,
,"EGG,WHOLE,RAW",Large,1,56,80,7,5.6,0.4,0,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",1,
Fish & Seafood,"BASS,FRESH H2O,MIXED SP,RAW",fillet,0.5,39.5,45,7.4,1.5,0,0,GROCERY,"0.125,0.25,0.375,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"SALMON,PINK,RAW",fillet,0.5,159,184,31.7,5.5,0,0,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"TUNA,LT,CND IN H2O,DRAINED ",cup,0.25,38.5,45,9.8,0.3,0,0,GROCERY,"0.125,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"CATFISH,CHANNEL,WILD,RAW",fillet,1,159,151,26,4.5,0,0,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
,"CRAB,ALASKA KING,RAW",leg,1,172,144,31.5,1,0,0,GROCERY,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.625,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4",,
