Item,Sub Item,"Unit Name e.g. litre, gram","Unit qty i.e. 1.5, 1, etc",Grams,Cal.,Protein,Fat,Carbs,Fiber,"eat type , in = 1, out = 0",extra units qty
Nuts & Seeds,"ALMOND BUTTER,PLAIN,WO/SALT",cup,1,250,1583,37.7,147.8,53.1,9.3,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
,ALMONDS,cup,1,95,546,20.2,46.9,20.6,11.3,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
,"BRAZILNUTS,DRIED,UNBLANCHED",cup,1,133.3,874,19.1,88.6,16.4,10,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
,"CASHEW NUTS,RAW",oz,1,28.4,157,5.2,12.5,8.6,0.9,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
,HAZELNUTS OR FILBERTS,cup,1,115,722,17.2,69.9,19.2,11.2,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
,PECANS,cup,1,109.5,757,10,78.8,15.2,10.5,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
,"WALNUTS,ENGLISH",cup,1,117.1,766,17.8,76.4,16.1,7.8,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
Pasta & Rice,"MACARONI,WHOLE-WHEAT,DRY",cup,1,105,365,15.4,1.5,78.8,8.7,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
,"MACARONI,DRY,ENR",cup,1,105,390,13.7,1.6,78.4,3.4,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
,"PASTA,CORN,DRY",cup,1,105,375,7.8,2.2,83.2,11.6,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
,"RICE,WHITE,LONG-GRAIN,DRY",cup,1,186,696,15.1,1.9,149.6,4.1,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
,"SPAGHETTI,DRY,ENRICHED",oz,1,28.5,106,3.7,0.4,21.3,1,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
,"NOODLES,EGG,DRY,ENRICHED",cup,1,38,146,5.4,1.7,27.1,1.3,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
,"RICE,BROWN,MEDIUM-GRAIN,RAW",cup,0.125,23.8,86,1.8,0.6,18.1,0.8,eat_in,"0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.625,1.75,1.875,2,2.125,2.25,2.375,2.5,2.626,2.75,2.875,3,3.125,3.25,3.375,3.5,3.625,3.75,3.875,4"
